Date,Net,Open,High,Low,Close,Adj Close,Volume,avg_temp,avg_pressure,avg_wind,sum_precip,avg7_day,avg30_day
2017-04-05,409.64,2366.59,2378.36,2350.52,2352.95,2352.95,3770520000,67,29.86,8,0,2358.002503,2365.779997
2017-04-06,308.95,2353.79,2364.16,2348.9,2357.49,2357.49,3201920000,56,29.42,10,1.57,2359.98999,2365.569328
2017-04-07,802.97,2356.59,2363.76,2350.74,2355.54,2355.54,3053150000,47,29.62,17,0.01,2359.611237,2365.175993
2017-04-10,303.37,2357.16,2366.37,2351.5,2357.16,2357.16,2785410000,66,30.16,10,0,2359.11499,2364.756323
2017-04-11,139.36,2353.92,2355.22,2337.25,2353.78,2353.78,3117420000,72,30.13,10,0,2357.329987,2364.427661
2017-04-12,69.97,2352.15,2352.72,2341.18,2344.93,2344.93,3196950000,71,30.2,9,0.01,2355.106232,2362.72666
2017-04-13,164.88,2341.98,2348.26,2328.95,2328.95,2328.95,3143890000,63,30.35,6,0,2351.369965,2360.960995
2017-04-17,947.71,2332.62,2349.14,2332.51,2349.01,2349.01,2824710000,64,30.35,5,0,2349.976227,2359.823991
2017-04-18,1090.57,2342.53,2348.35,2334.54,2342.19,2342.19,3269840000,63,30.31,9,0,2348.631226,2358.719987
2017-04-19,1319.04,2346.79,2352.63,2335.05,2338.17,2338.17,3519900000,58,30.36,9,0.01,2346.216217,2357.712655
2017-04-20,1613.58,2342.69,2361.37,2340.91,2355.84,2355.84,3647420000,70,30.05,8,0.11,2346.253723,2357.474658
2017-04-21,2252.19,2354.74,2356.18,2344.51,2348.69,2348.69,3503360000,73,29.86,5,0.12,2345.194977,2356.935319
2017-04-24,1942.93,2370.33,2376.98,2369.19,2374.15,2374.15,3690650000,55,30.05,12,0.23,2347.741211,2356.986979
2017-04-25,2918.83,2381.51,2392.48,2381.15,2388.61,2388.61,3995240000,57,29.82,15,0.08,2353.201233,2357.49165
2017-04-26,3257.16,2388.98,2398.16,2386.78,2387.45,2387.45,4105920000,65,29.76,7,0.01,2360.513733,2358.224984
2017-04-27,2855.99,2389.7,2392.1,2382.68,2388.77,2388.77,4098460000,71,29.82,8,0.01,2365.483734,2358.341984
2017-04-28,3959.59,2393.68,2393.68,2382.36,2384.2,2384.2,3718270000,75,29.97,8,0.01,2370.734985,2358.435986
2017-05-01,1975.88,2388.5,2394.49,2384.83,2388.33,2388.33,3199240000,74,29.85,14,0.01,2377.005005,2358.771989
2017-05-02,2225.52,2391.05,2392.93,2385.82,2391.17,2391.17,3813680000,72,29.7,14,0,2381.421234,2359.361987
2017-05-03,1731.72,2386.5,2389.82,2379.75,2388.13,2388.13,3893990000,62,30.03,12,0,2386.351227,2360.832316
2017-05-04,1451.28,2389.79,2391.43,2380.35,2389.52,2389.52,4362540000,60,30.11,12,0.13,2388.272492,2362.201318
2017-05-05,1965.06,2392.37,2399.29,2389.38,2399.29,2399.29,3540140000,67,29.53,12,1.75,2389.607483,2363.978988
2017-05-08,1670.81,2399.94,2401.36,2393.92,2399.38,2399.38,3429440000,56,29.96,9,0,2391.098725,2365.825651
2017-05-09,1557.95,2401.58,2403.87,2392.44,2396.92,2396.92,3653590000,57,30,7,0,2392.117462,2367.669979
2017-05-10,3171.30,2396.79,2399.74,2392.79,2399.63,2399.63,3643530000,63,29.98,5,0,2394.046204,2369.038639
2017-05-11,2967.56,2394.84,2395.72,2381.74,2394.44,2394.44,3727420000,58,29.94,9,1.04,2394.809937,2370.148975
2017-05-12,6798.01,2392.44,2392.44,2387.19,2390.9,2390.9,3305630000,55,30.01,9,0.31,2394.776184,2370.910303
2017-05-15,968.51,2393.98,2404.05,2393.94,2402.32,2402.32,3473600000,66,29.92,13,0,2396.549957,2372.230306
2017-05-16,1084.88,2404.55,2405.77,2396.05,2400.67,2400.67,3420790000,67,30.05,7,0,2397.943695,2373.624634
2017-05-17,1026.40,2382.95,2384.87,2356.21,2357.03,2357.03,4163000000,77,30,9,0,2392.661194,2373.520304
2017-05-18,752.64,2354.69,2375.74,2352.72,2365.72,2365.72,4319420000,79,29.97,11,0.03,2388.453705,2373.945972
2017-05-19,1586.45,2371.37,2389.06,2370.43,2381.73,2381.73,3825160000,82,29.96,10,0,2386.554962,2374.753971
2017-05-22,1223.37,2387.21,2395.46,2386.92,2394.02,2394.02,3172830000,65,30.06,4,0.34,2385.853729,2376.036637
2017-05-23,1094.34,2397.04,2400.85,2393.88,2398.42,2398.42,3213570000,64,29.89,7,0.06,2386.351227,2377.411971
2017-05-24,1122.43,2401.41,2405.58,2397.99,2404.39,2404.39,3389900000,62,29.73,9,0.26,2388.037476,2379.098966
2017-05-25,1096.25,2409.54,2418.71,2408.01,2415.07,2415.07,3535390000,67,29.52,10,0.75,2389.631226,2381.436971
2017-05-26,2187.31,2414.5,2416.68,2412.2,2415.82,2415.82,2805040000,68,29.75,10,0,2391.524994,2384.332642
2017-05-30,4353.06,2411.67,2415.26,2409.43,2412.91,2412.91,3203160000,68,30.05,8,0.17,2398.509979,2386.462638
2017-05-31,4758.20,2415.63,2415.99,2403.59,2411.8,2411.8,4516110000,73,30.01,6,0.02,2404.269989,2388.782975
2017-06-01,4985.19,2415.65,2430.06,2413.54,2430.06,2430.06,3857140000,74,29.99,7,0,2410.311249,2391.84598
2017-06-02,6187.97,2431.28,2440.23,2427.71,2439.07,2439.07,3461680000,72,30.01,8,0,2415.942505,2394.620312
2017-06-05,2846.44,2437.83,2439.55,2434.32,2436.1,2436.1,2912600000,73,29.74,7,0.01,2420.652527,2397.533984
2017-06-06,1983.17,2431.92,2436.21,2428.12,2429.33,2429.33,3357840000,72,29.75,11,0,2423.77005,2399.373324
2017-09-20,4901.67,2506.84,2508.85,2496.67,2508.24,2508.24,3530010000,79,29.95,8,0,2499.696289,2465.281038
2017-09-21,4967.33,2507.16,2507.16,2499,2500.6,2500.6,2930860000,78,30.03,5,0,2501.257538,2466.167041
2017-09-22,7651.09,2497.26,2503.47,2496.54,2502.22,2502.22,2865960000,77,30.04,5,0,2501.975037,2468.300708
2017-09-25,4347.45,2499.39,2502.54,2488.03,2496.66,2496.66,3297890000,81,30.03,5,0,2501.761261,2470.145369
2017-09-26,3603.15,2501.04,2503.51,2495.12,2496.84,2496.84,3043110000,78,29.99,9,0,2501.913757,2471.178703
2017-09-27,3082.86,2503.3,2511.75,2495.91,2507.04,2507.04,3456030000,82,29.86,10,0,2502.765015,2472.593034
2017-09-28,2805.82,2503.41,2510.81,2502.93,2510.06,2510.06,3168620000,74,29.88,14,0,2503.538757,2473.991366
2017-09-29,5305.93,2509.96,2519.44,2507.99,2519.36,2519.36,3211920000,67,30.08,7,0,2505.127533,2476.969702
2017-10-02,2605.83,2521.2,2529.23,2520.4,2529.12,2529.12,3199730000,63,30.41,4,0,2507.737549,2480.422038
2017-10-03,2921.93,2530.34,2535.13,2528.85,2534.58,2534.58,3068850000,66,30.55,6,0,2511.985046,2483.96237
