Day,UPC,Product,Pack Size,CIC,Sum Net Sales,Sum Item Quantity,Sum Markdown Amount
4/5/2017,87999901135,FORSYTHIA CB,20.00 - 1.00 EA,85100074,29.97,3,0
4/5/2017,87999901343,POMS OMBRE PREMIUM 5ST,15.00 - 1.00 EA,85102370,379.67,76,0
4/6/2017,87999901135,FORSYTHIA CB,20.00 - 1.00 EA,85100074,29.97,3,0
4/6/2017,87999901343,POMS OMBRE PREMIUM 5ST,15.00 - 1.00 EA,85102370,278.9843,56,0
4/7/2017,87999901135,FORSYTHIA CB,20.00 - 1.00 EA,85100074,109.89,11,0
4/7/2017,87999901343,POMS OMBRE PREMIUM 5ST,15.00 - 1.00 EA,85102370,693.0797,139,0
4/8/2017,87999901135,FORSYTHIA CB,20.00 - 1.00 EA,85100074,64.94,7,-4.99
4/8/2017,87999901343,POMS OMBRE PREMIUM 5ST,15.00 - 1.00 EA,85102370,1007.9478,202,0
4/9/2017,87999901135,FORSYTHIA CB,20.00 - 1.00 EA,85100074,29.97,3,0
4/9/2017,87999901343,POMS OMBRE PREMIUM 5ST,15.00 - 1.00 EA,85102370,579.0669,116,0
4/10/2017,87999901135,FORSYTHIA CB,20.00 - 1.00 EA,85100074,119.88,12,0
4/10/2017,87999901343,POMS OMBRE PREMIUM 5ST,15.00 - 1.00 EA,85102370,183.4854,37,0
4/11/2017,87999901135,FORSYTHIA CB,20.00 - 1.00 EA,85100074,49.95,5,0
4/11/2017,87999901343,POMS OMBRE PREMIUM 5ST,15.00 - 1.00 EA,85102370,89.411,18,0
4/12/2017,87999901135,FORSYTHIA CB,20.00 - 1.00 EA,85100074,29.97,3,0
4/12/2017,87999901343,POMS OMBRE PREMIUM 5ST,15.00 - 1.00 EA,85102370,40,8,0
4/13/2017,87999901135,FORSYTHIA CB,20.00 - 1.00 EA,85100074,119.88,12,0
4/13/2017,87999901343,POMS OMBRE PREMIUM 5ST,15.00 - 1.00 EA,85102370,45,9,0
4/14/2017,87999901135,FORSYTHIA CB,20.00 - 1.00 EA,85100074,168.3893,17,0
4/14/2017,87999901343,POMS OMBRE PREMIUM 5ST,15.00 - 1.00 EA,85102370,15,3,0
4/15/2017,87999901135,FORSYTHIA CB,20.00 - 1.00 EA,85100074,159.84,16,0
4/15/2017,87999901343,POMS OMBRE PREMIUM 5ST,15.00 - 1.00 EA,85102370,5,1,0
4/16/2017,87999901135,FORSYTHIA CB,20.00 - 1.00 EA,85100074,84.91,9,-5
4/16/2017,87999901343,POMS OMBRE PREMIUM 5ST,15.00 - 1.00 EA,85102370,10,2,0
4/17/2017,87999901135,FORSYTHIA CB,20.00 - 1.00 EA,85100074,54.94,6,-5
4/17/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,892.7677,64,-2
4/18/2017,87999901135,FORSYTHIA CB,20.00 - 1.00 EA,85100074,9.99,1,0
4/18/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,1080.584,78,-7
4/19/2017,87999901135,FORSYTHIA CB,20.00 - 1.00 EA,85100074,59.94,6,0
4/19/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,1259.0955,97,-95.99
4/20/2017,87999901135,FORSYTHIA CB,20.00 - 1.00 EA,85100074,29.97,3,0
4/20/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,1583.6077,124,-149.95
4/21/2017,87999901135,FORSYTHIA CB,20.00 - 1.00 EA,85100074,29.1225,3,0
4/21/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,2223.0654,177,-249.9
4/22/2017,87999901135,FORSYTHIA CB,20.00 - 1.00 EA,85100074,29.97,3,0
4/22/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,2403.5553,185,-182.2
4/23/2017,87999901135,FORSYTHIA CB,20.00 - 1.00 EA,85100074,29.97,3,0
4/23/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,2020.1641,159,-200.15
4/24/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,565.0684,81,0
4/24/2017,87999901343,POMS OMBRE PREMIUM 5ST,15.00 - 1.00 EA,85102370,0,0,0
4/24/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,1377.863,106,-103.99
4/25/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,983.585,141,0
4/25/2017,87999901135,FORSYTHIA CB,20.00 - 1.00 EA,85100074,9.99,1,0
4/25/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,1925.2541,148,-144.19
4/26/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,850.542,122,0
4/26/2017,87999901135,FORSYTHIA CB,20.00 - 1.00 EA,85100074,79.92,8,0
4/26/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,2326.6997,181,-203.19
4/27/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,647.247,93,-2.5
4/27/2017,87999901135,FORSYTHIA CB,20.00 - 1.00 EA,85100074,9.99,1,0
4/27/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,2198.7483,171,-193.99
4/28/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,863.1154,125,-10.5
4/28/2017,87999901135,FORSYTHIA CB,20.00 - 1.00 EA,85100074,9.99,1,0
4/28/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,3086.4841,244,-322.67
4/29/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,1688.4652,244,-14
4/29/2017,87999901135,FORSYTHIA CB,20.00 - 1.00 EA,85100074,9.99,1,0
