,Store,UPC,CIC,Txn_Date,Net,Units,Mkdn_Amt
1,5,87999901417,85102733,9/20/2017,29.97,3,0
2,5,87999901602,85102051,9/20/2017,25,5,0
3,5,87999901417,85102733,9/21/2017,9.99,1,0
4,5,87999901417,85102733,9/22/2017,29.97,3,0
5,5,87999901417,85102733,9/23/2017,29.97,3,0
6,5,87999901417,85102733,9/24/2017,89.91,9,0
7,5,87999901417,85102733,9/25/2017,19.98,2,0
8,5,87999901602,85102051,9/25/2017,5,1,0
9,5,87999901602,85102051,9/26/2017,35,7,0
10,5,87999901417,85102733,9/27/2017,9.99,1,0
11,5,87999901602,85102051,9/27/2017,10,2,0
12,5,87999901417,85102733,9/28/2017,9.99,1,0
13,5,87999901602,85102051,9/28/2017,25,5,0
14,5,87999901417,85102733,9/29/2017,9.99,1,0
15,5,87999901343,85102370,9/29/2017,35,7,0
16,5,87999901602,85102051,9/29/2017,40,8,0
17,5,87999901417,85102733,9/30/2017,19.98,2,0
18,5,87999901343,85102370,9/30/2017,10,2,0
19,5,87999901602,85102051,9/30/2017,20,4,0
20,5,87999901417,85102733,10/1/2017,9.99,1,0
21,5,87999901343,85102370,10/1/2017,10,2,0
22,5,87999901602,85102051,10/1/2017,25,5,0
23,5,87999901343,85102370,10/2/2017,5,1,0
24,5,87999901602,85102051,10/2/2017,15,3,0
25,5,87999901343,85102370,10/3/2017,15,3,0
26,5,87999901602,85102051,10/3/2017,10,2,0
27,105,87999901602,85102051,9/20/2017,15,3,0
28,105,87999901602,85102051,9/21/2017,5,1,0
29,105,87999901417,85102733,9/21/2017,39.96,4,0
30,105,87999901602,85102051,9/22/2017,5,1,0
31,105,87999901417,85102733,9/22/2017,119.88,12,0
32,105,87999901602,85102051,9/23/2017,5,1,0
33,105,87999901417,85102733,9/23/2017,79.92,8,0
34,105,87999901602,85102051,9/24/2017,5,1,0
35,105,87999901417,85102733,9/24/2017,19.98,2,0
36,105,87999901602,85102051,9/25/2017,20,4,0
37,105,87999901417,85102733,9/25/2017,19.98,2,0
38,105,87999901602,85102051,9/26/2017,10,2,0
39,105,87999901417,85102733,9/26/2017,9.99,1,0
40,105,87999901602,85102051,9/27/2017,10,2,0
41,105,87999901602,85102051,9/28/2017,10,2,0
42,105,87999901417,85102733,9/29/2017,9.99,1,0
43,105,87999901602,85102051,9/30/2017,10,2,0
44,105,87999901602,85102051,10/1/2017,25,5,0
45,105,87999901602,85102051,10/2/2017,5,1,0
46,105,87999901602,85102051,10/3/2017,20,4,0
47,107,87999901602,85102051,9/20/2017,5,1,0
48,107,87999901602,85102051,9/21/2017,35,7,0
49,107,87999901602,85102051,9/22/2017,40,8,0
50,107,87999901417,85102733,9/22/2017,19.98,2,0
51,107,87999901602,85102051,9/23/2017,15,3,0
52,107,87999901417,85102733,9/23/2017,49.95,5,0
53,107,87999901602,85102051,9/24/2017,15,3,0
54,107,87999901417,85102733,9/24/2017,9.99,1,0
55,107,87999901602,85102051,9/25/2017,10,2,0
56,107,87999901417,85102733,9/25/2017,19.98,2,0
57,107,87999901602,85102051,9/26/2017,15,3,0
58,107,87999901602,85102051,9/27/2017,5,1,0
59,107,87999901417,85102733,9/27/2017,29.97,3,0
60,107,87999901602,85102051,9/28/2017,25,5,0
61,107,87999901417,85102733,9/28/2017,29.97,3,0
62,107,87999901602,85102051,9/29/2017,35,7,0
63,107,87999901417,85102733,9/29/2017,19.98,2,0
64,107,87999901602,85102051,9/30/2017,55,11,0
65,107,87999901417,85102733,9/30/2017,39.96,4,0
66,107,87999901602,85102051,10/1/2017,10,2,0
67,107,87999901602,85102051,10/2/2017,20,4,0
68,107,87999901602,85102051,10/3/2017,60,12,0
69,128,87999901417,85102733,9/20/2017,17.97,3,-12
70,128,87999901602,85102051,9/20/2017,20,4,0
71,128,87999901417,85102733,9/21/2017,23.96,4,-16
72,128,87999901602,85102051,9/21/2017,15,3,0
73,128,87999901417,85102733,9/22/2017,35.94,6,-24
74,128,87999901417,85102733,9/23/2017,23.96,4,-16
75,128,87999901602,85102051,9/23/2017,10,2,0
76,128,87999901417,85102733,9/24/2017,5.99,1,-4
77,128,87999901602,85102051,9/24/2017,30,6,0
78,128,87999901602,85102051,9/26/2017,45,9,0
79,128,87999901602,85102051,9/27/2017,5,1,0
80,128,87999901602,85102051,9/28/2017,5,1,0
81,128,87999901602,85102051,9/29/2017,20,4,0
82,128,87999901602,85102051,9/30/2017,15,3,0
83,128,87999901602,85102051,10/1/2017,20,4,0
84,128,87999901602,85102051,10/2/2017,5,1,0
85,693,87999901602,85102051,9/20/2017,40,8,0
86,693,87999901417,85102733,9/20/2017,31.96,4,-8
87,693,87999901602,85102051,9/21/2017,15,3,0
88,693,87999901417,85102733,9/21/2017,23.97,3,-6
89,693,87999901602,85102051,9/22/2017,5,1,0
90,693,87999901417,85102733,9/22/2017,63.93,7,-6
91,693,87999901602,85102051,9/23/2017,35,7,0
92,693,87999901417,85102733,9/23/2017,9.99,1,0
93,693,87999901602,85102051,9/24/2017,35,7,0
94,693,87999901417,85102733,9/24/2017,33.96,4,-6
95,693,87999901417,85102733,9/25/2017,7.99,1,-2
96,693,87999901602,85102051,9/26/2017,15,3,0
97,693,87999901602,85102051,9/27/2017,20,4,0
98,693,87999901602,85102051,9/28/2017,40,8,0
99,693,87999901602,85102051,9/29/2017,20,4,0
100,693,87999901602,85102051,9/30/2017,35,7,0
101,693,87999901602,85102051,10/1/2017,15,3,0
102,693,87999901602,85102051,10/3/2017,15,3,0
103,764,87999901417,85102733,9/20/2017,9.99,1,0
104,764,87999901417,85102733,9/21/2017,39.96,4,0
105,764,87999901602,85102051,9/22/2017,40,8,0
106,764,87999901417,85102733,9/22/2017,19.98,2,0
107,764,87999901602,85102051,9/23/2017,55,11,0
108,764,87999901417,85102733,9/23/2017,19.98,2,0
109,764,87999901602,85102051,9/24/2017,45,9,0
110,764,87999901417,85102733,9/24/2017,49.95,5,0
111,764,87999901602,85102051,9/25/2017,35,7,0
112,764,87999901602,85102051,9/26/2017,15,3,0
113,764,87999901417,85102733,9/26/2017,19.98,2,0
114,764,87999901602,85102051,9/27/2017,20,4,0
115,764,87999901417,85102733,9/27/2017,19.98,2,0
116,764,87999901602,85102051,9/28/2017,5,1,0
117,764,87999901417,85102733,9/28/2017,9.99,1,0
118,764,87999901602,85102051,9/29/2017,30,6,0
119,764,87999901417,85102733,9/29/2017,29.97,3,0
120,764,87999901602,85102051,9/30/2017,35,7,0
121,764,87999901417,85102733,9/30/2017,9.99,1,0
122,764,87999901602,85102051,10/1/2017,5,1,0
123,764,87999901417,85102733,10/1/2017,9.99,1,0
124,764,87999901417,85102733,10/2/2017,9.99,1,0
125,764,87999901602,85102051,10/3/2017,60,12,0
126,853,87999901602,85102051,9/20/2017,17.5,5,-7.5
127,853,87999901417,85102733,9/20/2017,9.99,1,0
128,853,87999901602,85102051,9/21/2017,22.5,5,-2.5
129,853,87999901417,85102733,9/21/2017,19.98,2,0
130,853,87999901602,85102051,9/22/2017,20,4,0
131,853,87999901417,85102733,9/22/2017,59.94,6,0
132,853,87999901602,85102051,9/23/2017,5,1,0
133,853,87999901417,85102733,9/23/2017,19.98,2,0
134,853,87999901417,85102733,9/24/2017,39.96,4,0
135,853,87999901417,85102733,9/25/2017,39.96,4,0
136,853,87999901602,85102051,9/26/2017,25,5,0
137,853,87999901417,85102733,9/26/2017,19.98,2,0
138,853,87999901602,85102051,9/27/2017,50,10,0
139,853,87999901417,85102733,9/27/2017,49.95,5,0
140,853,87999901417,85102733,9/29/2017,9.99,1,0
141,853,87999901417,85102733,10/1/2017,19.98,2,0
142,853,87999901602,85102051,10/2/2017,35,7,0
143,853,87999901602,85102051,10/3/2017,5,1,0
144,866,87999901417,85102733,9/20/2017,9.99,1,0
145,866,87999901417,85102733,9/21/2017,9.99,1,0
146,866,87999901417,85102733,9/22/2017,19.98,2,0
147,866,87999901602,85102051,9/22/2017,5,1,0
148,866,87999901417,85102733,9/23/2017,29.97,3,0
149,866,87999901602,85102051,9/23/2017,15,3,0
150,866,87999901417,85102733,9/24/2017,19.98,2,0
151,866,87999901602,85102051,9/24/2017,40,8,0
152,866,87999901602,85102051,9/25/2017,5,1,0
153,866,87999901417,85102733,9/26/2017,9.99,1,0
154,866,87999901602,85102051,9/27/2017,10,2,0
155,866,87999901602,85102051,9/29/2017,5,1,0
156,870,87999901602,85102051,9/20/2017,20,4,0
157,870,87999901417,85102733,9/20/2017,19.98,2,0
158,870,87999901343,85102370,9/20/2017,25,5,0
159,870,87999901602,85102051,9/21/2017,5,1,0
160,870,87999901417,85102733,9/21/2017,69.93,7,0
161,870,87999901343,85102370,9/21/2017,20,4,0
162,870,87999901602,85102051,9/22/2017,30,6,0
163,870,87999901417,85102733,9/22/2017,29.97,3,0
164,870,87999901343,85102370,9/22/2017,20,4,0
165,870,87999901602,85102051,9/23/2017,15,3,0
166,870,87999901417,85102733,9/23/2017,89.91,9,0
167,870,87999901343,85102370,9/23/2017,35,7,0
168,870,87999901602,85102051,9/24/2017,15,3,0
169,870,87999901417,85102733,9/24/2017,59.94,6,0
170,870,87999901343,85102370,9/24/2017,15,3,0
171,870,87999901602,85102051,9/25/2017,10,2,0
172,870,87999901417,85102733,9/25/2017,9.99,1,0
173,870,87999901343,85102370,9/25/2017,15,3,0
174,870,87999901602,85102051,9/26/2017,10,2,0
175,870,87999901417,85102733,9/26/2017,19.98,2,0
176,870,87999901343,85102370,9/26/2017,60,12,0
177,870,87999901602,85102051,9/27/2017,15,3,0
178,870,87999901343,85102370,9/27/2017,15,3,0
179,870,87999901602,85102051,9/28/2017,45,9,0
180,870,87999901602,85102051,9/29/2017,60,12,0
181,870,87999901343,85102370,9/29/2017,40,8,0
182,870,87999901602,85102051,9/30/2017,20,4,0
183,870,87999901343,85102370,9/30/2017,15,3,0
184,870,87999901602,85102051,10/1/2017,50,10,0
185,870,87999901343,85102370,10/1/2017,20,4,0
186,870,87999901602,85102051,10/2/2017,5,1,0
187,870,87999901602,85102051,10/3/2017,50,10,0
188,878,87999901602,85102051,9/20/2017,25,5,0
189,878,87999901417,85102733,9/20/2017,9.99,1,0
190,878,87999901602,85102051,9/21/2017,10,2,0
191,878,87999901417,85102733,9/21/2017,9.99,1,0
192,878,87999901602,85102051,9/22/2017,15,3,0
193,878,87999901417,85102733,9/22/2017,29.97,3,0
194,878,87999901343,85102370,9/22/2017,5,1,0
195,878,87999901602,85102051,9/23/2017,15,3,0
196,878,87999901343,85102370,9/23/2017,30,6,0
197,878,87999901602,85102051,9/24/2017,10,2,0
198,878,87999901417,85102733,9/24/2017,29.97,3,0
199,878,87999901343,85102370,9/24/2017,20,4,0
200,878,87999901602,85102051,9/25/2017,5,1,0
201,878,87999901417,85102733,9/25/2017,9.99,1,0
202,878,87999901343,85102370,9/25/2017,5,1,0
203,878,87999901602,85102051,9/26/2017,20,4,0
204,878,87999901417,85102733,9/26/2017,9.99,1,0
205,878,87999901602,85102051,9/27/2017,5,1,0
206,878,87999901417,85102733,9/27/2017,9.99,1,0
207,878,87999901602,85102051,9/28/2017,25,5,0
208,878,87999901602,85102051,9/29/2017,30,6,0
209,878,87999901417,85102733,9/29/2017,9.99,1,0
210,878,87999901343,85102370,9/29/2017,15,3,0
