Date,close,volume,open,high,low
11/30/2017,110.93,1707376,110.7,111.89,110.26
11/29/2017,110.5,843905,109.87,111.59,109.22
11/28/2017,109.84,916347,108.6,109.87,108.01
11/27/2017,108.37,634626,107.75,108.6975,107.14
11/24/2017,107.45,291197,108.34,108.46,107.43
11/22/2017,108.12,957652,108.51,108.905,107.86
11/21/2017,108.51,1060778,109.3,109.99,108.39
11/20/2017,110.1,884514,109.1,110.75,108.83
11/17/2017,109.1,1993358,109.28,110.64,108.98
11/16/2017,109.7,1202677,108.04,110.115,107.56
11/15/2017,107.42,923017,109.45,110.95,107.06
11/14/2017,109.86,997781,108,110.31,107.65
11/13/2017,108.18,939889,108.77,109.55,108.05
11/10/2017,108.6,751677,107.34,108.87,107.34
11/9/2017,107.77,854010,107.47,108.34,107.3
11/8/2017,107.75,798460,105.95,107.92,105.94
11/7/2017,105.97,954574,104.18,106.09,104.09
11/6/2017,104.38,780540,106.04,106.04,104.14
11/3/2017,105.92,809373,106.42,106.79,105.83
11/2/2017,106.59,874065,106.41,106.79,105.6601
11/1/2017,106.73,811130,106.57,106.87,105.61
10/31/2017,106.18,1145705,105.21,106.39,105.02
10/30/2017,104.73,1449685,104.33,105.63,104.19
10/27/2017,104.08,1844349,102.76,104.12,102.62
10/26/2017,102.87,2601842,107.47,107.5,102.52
10/25/2017,108.6,1192544,108.7,109.06,107.75
10/24/2017,109.36,786676,109.39,109.76,109.23
10/23/2017,109.12,949206,109.13,109.2799,107.95
10/20/2017,109.02,717012,109.49,109.99,108.86
10/19/2017,109.35,683494,110.01,110.23,109.09
10/18/2017,110.05,671964,110.92,110.92,109.99
10/17/2017,110.82,547608,110.77,110.89,110
10/16/2017,110.94,604030,110.22,110.99,109.75
10/13/2017,110.07,1042176,110.2,110.36,109.49
10/12/2017,109.97,1044342,109.46,110.64,109.46
10/11/2017,109.52,893711,109.09,110.39,109.09
10/10/2017,109.03,655393,108.13,109.09,107.38
10/9/2017,107.89,600966,108.73,108.94,107.72
10/6/2017,108.65,994377,108.86,109.23,108.31
10/5/2017,108.92,876436,108.38,108.98,108.07
10/4/2017,108.24,849120,107.95,109,107.12
10/3/2017,107.66,948575,108.95,109.11,107.36
10/2/2017,108.84,878476,109.2,109.68,108.69
9/29/2017,109.17,1199199,108.08,109.48,107.78
9/28/2017,107.82,896529,107.61,108.75,107.4
9/27/2017,108.22,1215428,107.25,108.29,107.2
9/26/2017,107.21,835642,107.01,107.41,106.61
9/25/2017,106.83,1483330,106.6,106.885,105.94
9/22/2017,106.48,1148451,107.63,107.86,106
9/21/2017,107.55,902890,108.5,108.64,107.08
9/20/2017,108.42,691287,108.93,109.24,107.73
9/19/2017,109.41,945956,109.67,109.81,109.15
9/18/2017,109.75,923492,110.53,110.69,109.55
9/15/2017,110.5,1224543,109.43,110.55,109.43
9/14/2017,109.32,537870,109.18,109.51,108.92
9/13/2017,109.42,779296,109.21,110.6,109.05
9/12/2017,109.58,760171,109.63,110.3,109.36
9/11/2017,109.65,1073620,108.48,109.9,108.2
9/8/2017,108.15,1089088,107.74,108.89,107.28
9/7/2017,107.8,1725314,105.43,108.06,105.16
9/6/2017,105.29,1416208,104.64,105.33,104.201
9/5/2017,104.66,1411578,105.24,105.95,104.51
9/1/2017,105.61,1173319,105.38,105.66,104.31
8/31/2017,104.92,769413,104.23,104.99,104
8/30/2017,104.4,873725,104.86,105.53,104.05
8/29/2017,104.94,1120078,104.57,105.21,104.44
